Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-09,4.38417,4.39749,3.9911,3.99784,18856.015135957
2007-11-12,3.86456,3.9911,3.79788,3.80454,17194.151352101
2007-11-13,3.69799,3.98452,3.69799,3.93107,3867.4508109794
2007-11-14,3.99784,4.23101,3.94439,3.94439,9417.593513924
2007-11-15,4.04446,4.04446,3.86456,3.9911,1318.7481081656
2007-11-16,3.79788,3.93107,3.73785,3.89786,9291.5286490537
2007-11-19,3.93107,3.93107,3.73129,3.79122,3677.8054055657
2007-11-20,3.76449,3.76449,3.56463,3.57137,9742.0735139382
2007-11-21,3.63806,3.63806,3.27818,3.29816,132003.06811386
2007-11-22,3.25155,3.2915,2.99822,3.27818,35817.76865021
2007-11-23,3.3248,3.3248,3.17164,3.21817,19240.787027866
2007-11-26,3.28484,3.35135,3.23157,3.31148,13502.095135724
2007-11-27,3.31824,3.3248,3.23157,3.29816,11728.417297809
2007-11-28,3.33146,3.51792,3.29816,3.51792,29997.956758064
2007-11-29,3.56463,3.73129,3.33146,3.41803,38821.401082773
2007-11-30,3.49146,3.49146,3.46464,3.46464,1790.1210811591
2007-12-03,3.51792,3.51792,3.46464,3.4714,13313.545946526
2007-12-04,3.46464,3.49804,3.36485,3.46464,7370.9578381591
2007-12-05,3.49804,3.49804,3.37817,3.39139,10623.431351814
2007-12-06,3.45808,3.45808,3.41147,3.43135,14605.984865502
2007-12-07,3.48472,3.48472,3.39815,3.45142,5898.7394597166
2007-12-10,3.46464,3.49804,3.40471,3.46464,18077.70162241
2007-12-11,3.46464,3.46464,3.36485,3.45808,19008.389190018
2007-12-12,3.36485,3.38473,3.26478,3.26478,27598.339460662
2007-12-13,3.30474,3.30474,3.16489,3.19809,51749.078921175
2007-12-14,3.19809,3.21151,3.1315,3.1315,17199.632433182
2007-12-17,3.11143,3.11143,3.03151,3.05833,28104.791352576
2007-12-18,3.07165,3.07165,2.99822,2.99822,89705.565409316
2007-12-19,3.05833,3.05833,2.93181,2.97834,66669.677840744
2007-12-20,2.93181,2.96502,2.86513,2.86513,67203.535138065
2007-12-21,2.85829,3.05833,2.8051,2.99822,73950.745949169
2007-12-27,3.15157,3.15157,2.99822,3.1315,100371.74919356
2007-12-28,3.0982,3.39815,3.0982,3.33146,63214.40432708
2008-01-02,3.33146,3.46464,3.33146,3.43135,30628.281082416
2008-01-03,3.45808,3.63131,3.39815,3.57137,36827.383785389
2008-01-04,3.67126,3.86456,3.63131,3.73129,164911.47892611
2008-01-07,3.92441,3.92441,3.59811,3.65794,36460.151352941
2008-01-08,3.6646,3.67126,3.49146,3.58461,30979.070271621
2008-01-09,3.43801,3.45142,3.33146,3.33146,59683.491894493
2008-01-10,3.39139,3.49146,3.27818,3.29816,60303.950272899
2008-01-11,3.33146,3.35801,3.29816,3.33146,20948.691892805
2008-01-14,3.23157,3.26478,3.19809,3.20485,33921.314596073
2008-01-15,3.20485,3.29816,3.10504,3.10504,12311.604324861
2008-01-16,3.03151,3.17164,2.95836,3.17164,30706.112433771
2008-01-17,3.29816,3.29816,3.16489,3.27144,7899.3340543984
2008-01-18,3.28484,3.29816,3.17164,3.2915,10464.480000456
2008-01-21,3.28484,3.29816,3.15157,3.26478,8342.205405769
2008-01-22,3.18496,3.2915,2.66517,3.13834,64847.766489313
2008-01-23,3.23157,3.25821,3.1315,3.1315,17065.894054798
2008-01-24,3.17164,3.34487,3.17164,3.34487,15868.825946638
2008-01-25,3.43801,3.46464,3.3248,3.43135,7750.2486489865
2008-01-28,3.33146,3.42487,3.33146,3.42487,2146.3913514449
2008-01-29,3.33146,3.39815,3.31148,3.33146,21712.754595541
2008-01-30,3.45142,3.45142,3.16489,3.19809,26850.72000117
2008-01-31,3.26478,3.31148,3.19809,3.2448,19257.23027111
2008-02-01,3.25155,3.33146,3.21151,3.33146,17330.082162918
2008-02-04,3.3248,3.3248,3.21151,3.21151,13997.584865475
2008-02-05,3.21151,3.25821,3.15157,3.19809,9206.0237841851
2008-02-06,3.17164,3.17164,3.07823,3.16489,7563.8918922216
2008-02-07,3.19161,3.19161,3.07165,3.16489,17492.322162925
2008-02-08,3.18496,3.19161,3.07165,3.07823,15124.495135794
2008-02-11,3.06491,3.15157,3.06491,3.15157,1589.5135135828
2008-02-12,3.15157,3.17811,3.14491,3.16489,6718.7091894821
2008-02-13,3.16489,3.19161,3.16489,3.19161,2029.0962163047
2008-02-14,3.07823,3.27144,3.07823,3.27144,6404.0951354143
2008-02-15,3.27144,3.27144,3.27144,3.27144,902.18594598527
2008-02-18,3.27818,3.27818,3.20485,3.20485,577.70594597113
2008-02-19,3.16489,3.25821,3.16489,3.23823,698.28972976017
2008-02-20,3.19809,3.19809,3.19809,3.19809,152.3740540607
2008-02-21,3.19809,3.19809,3.1315,3.18496,3387.3081082558
2008-02-22,3.14491,3.14491,3.1315,3.13834,2177.0854055003
2008-02-25,3.1315,3.1315,3.05833,3.07165,6091.673513779
2008-02-26,3.1315,3.1315,3.0982,3.0982,1063.3297297761
2008-02-27,3.0982,3.0982,3.06491,3.0982,342.01945947437
2008-02-28,3.0982,3.19161,3.0982,3.16489,14635.582703341
2008-02-29,3.19809,3.19809,3.07823,3.07823,2015.9416217095
2008-03-03,3.06491,3.1315,2.95836,2.95836,6270.3567570301
2008-03-04,2.96502,3.05833,2.96502,3.05833,299.26702704007
2008-03-05,3.06491,3.09173,2.99822,3.09173,5216.8929732004
2008-03-06,3.11818,3.11818,3.00497,3.06491,6033.5740543171
2008-03-07,3.06491,3.06491,2.84506,2.99822,9213.6972976989
2008-03-10,2.8051,3.03151,2.8051,3.03151,3851.0075677354
2008-03-11,2.99822,2.99822,2.93181,2.99822,6603.6064867743
2008-03-12,2.99822,2.99822,2.88511,2.88511,6151.9654056736
2008-03-13,2.89833,2.985,2.87179,2.985,1607.052973043
2008-03-14,2.91174,2.95836,2.91174,2.95836,1169.6627027537
2008-03-17,2.86513,2.96502,2.86513,2.96502,2914.838919046
2008-03-18,2.89158,3.03151,2.89158,2.93181,2370.0194595628
2008-03-19,2.96502,3.05159,2.88511,3.05159,8011.1481084573
2008-03-20,3.03151,3.03151,2.99822,2.99822,1136.7762162658
2008-03-25,2.99822,2.99822,2.91831,2.985,905.47459463406
2008-03-26,2.97168,2.985,2.96502,2.97168,962.47783787979
2008-03-27,3.01172,3.0982,2.99822,3.05159,9779.3448652911
2008-03-28,3.11143,3.11143,2.99822,3.03151,3108.8691893247
2008-03-31,2.95836,2.95836,2.89833,2.93181,6537.8335137985
2008-04-01,2.9516,2.9516,2.81842,2.90499,7495.9264868132
2008-04-02,2.99822,2.99822,2.95836,2.96502,12479.325405949
2008-04-03,2.93181,2.93181,2.87835,2.91174,4470.3697299246
2008-04-04,2.89833,2.95836,2.89833,2.95836,331.05729731173
2008-04-07,2.89833,3.05833,2.89833,2.99822,4464.8886488433
2008-04-08,2.985,3.03151,2.89158,3.01172,8484.7135138834
2008-04-09,2.99166,3.03151,2.99166,3.03151,2502.6616217307
2008-04-10,2.99822,3.03151,2.93181,2.93181,4502.1600001962
2008-04-11,2.86513,2.93838,2.86513,2.87179,10068.745946385
2008-04-14,2.85181,2.87179,2.81167,2.87179,3280.9751352782
2008-04-15,2.91831,2.91831,2.91831,2.91831,525.08756759046
2008-04-16,2.91831,2.91831,2.83174,2.83174,871.49189192988
2008-04-17,2.96502,2.96502,2.77856,2.77856,15670.410811494
2008-04-18,2.79836,2.79836,2.71853,2.76515,4248.9340542393
2008-04-21,2.73851,2.77856,2.63187,2.63844,20106.797838714
2008-04-22,2.63844,2.73185,2.55196,2.55196,3970.4951353082
2008-04-23,2.6451,2.6451,2.5453,2.63187,6627.7232435321
2008-04-24,2.53189,2.79836,2.53189,2.73185,18531.535135943
2008-04-25,2.83174,2.83174,2.63844,2.70513,6706.6508111032
2008-04-28,2.7251,2.73185,2.62522,2.62522,1350.5383784372
2008-04-29,2.83174,2.83174,2.65185,2.65185,75.638918922216
2008-04-30,2.81842,2.83174,2.76515,2.82508,7397.2670273495
2008-05-05,2.86513,2.86513,2.79836,2.79836,7008.1102705758
2008-05-06,2.77856,2.79836,2.76515,2.76515,2507.0464865958
2008-05-07,2.77856,2.85181,2.77856,2.83174,607.30378381026
2008-05-08,2.83174,2.83174,2.73185,2.82508,2113.504864957
2008-05-09,2.82508,2.82508,2.74508,2.74508,316.8064865003
2008-05-12,2.79836,2.79836,2.73185,2.7584,1694.7502703441
2008-05-13,2.81842,2.83174,2.73851,2.79836,3396.0778379859
2008-05-14,2.82508,2.82508,2.76515,2.76515,3253.5697298716
2008-05-15,2.74508,2.74508,2.50525,2.5453,18371.487568368
2008-05-16,2.51867,2.62522,2.51867,2.5453,13443.995676262
2008-05-19,2.59848,2.59848,2.41868,2.43857,5099.5978380601
2008-05-20,2.46539,2.59848,2.46539,2.51867,4713.7297299352
2008-05-21,2.41868,2.59848,2.41868,2.56519,4765.2518920996
2008-05-23,2.59848,2.69181,2.42534,2.63187,34581.236758264
2008-05-26,2.71169,2.71169,2.51201,2.60524,3484.8713515033
2008-05-27,2.60524,2.60524,2.47862,2.47862,7788.6162165557
2008-05-28,2.56519,2.56519,2.56519,2.56519,506.45189191397
2008-05-29,2.56519,2.65185,2.47862,2.65185,17742.259460233
2008-05-30,2.62522,2.69855,2.49859,2.69855,10153.154595037
2008-06-02,2.7251,2.7251,2.60524,2.71169,87709.355679499
2008-06-03,2.69855,2.69855,2.6119,2.69855,15116.821622281
2008-06-04,2.69855,2.7584,2.65185,2.7584,14266.15783846
2008-06-05,2.75183,2.7584,2.67849,2.67849,7047.5740543613
2008-06-06,2.7584,2.79836,2.63187,2.7251,5798.9837840366
2008-06-09,2.69855,2.69855,2.63844,2.63844,316.8064865003
2008-06-10,2.6451,2.71169,2.47187,2.61856,9508.5794598739
2008-06-11,2.49859,2.56519,2.49859,2.56519,3067.2129731067
2008-06-12,2.45864,2.63844,2.45864,2.63844,7474.002162488
2008-06-13,2.68515,2.68515,2.41194,2.59848,12839.9805411
2008-06-16,2.59848,2.59848,2.47862,2.59848,7172.5427030154
2008-06-17,2.47187,2.59182,2.47187,2.58516,7886.1794598032
2008-06-18,2.49859,2.5786,2.49185,2.5786,1975.3816217077
2008-06-19,2.56519,2.56519,2.49859,2.56519,1505.1048649305
2008-06-20,2.48528,2.48528,2.48528,2.48528,610.59243245905
2008-06-23,2.57194,2.57194,2.47862,2.5453,5984.2443245852
2008-06-24,2.53846,2.53846,2.35866,2.53846,13823.286487089
2008-06-25,2.53189,2.53846,2.53189,2.53846,9480.0778382511
2008-06-26,2.46539,2.53846,2.46539,2.51201,9167.6562166158
2008-06-27,2.52533,2.52533,2.35866,2.41194,6215.5459462169
2008-06-30,2.53846,2.53846,2.3852,2.39871,76018.209733043
2008-07-01,2.36541,2.39871,2.31204,2.31204,11215.388108597
2008-07-02,2.3852,2.3852,2.3187,2.3187,388.06054055746
2008-07-03,2.36541,2.36541,2.23204,2.23204,8084.594594947
2008-07-04,2.3852,2.3852,2.02551,2.03883,10599.314595057
2008-07-07,2.20549,2.26542,1.99879,1.99879,6947.8183786812
2008-07-08,2.15888,2.15888,1.89898,1.9456,8814.6745949788
2008-07-09,2.12549,2.12549,1.93885,1.99221,12784.073514071
2008-07-10,2.09876,2.09876,2.00545,2.01229,6043.4400002634
2008-07-11,2.12549,2.12549,2.00545,2.04558,11813.922162677
2008-07-14,2.06547,2.10552,2.05215,2.10552,10170.694054497
2008-07-15,2.11884,2.11884,1.99879,1.99879,5200.4497299564
2008-07-16,2.13206,2.13206,1.97224,1.97224,2250.53189199
2008-07-17,2.01895,2.01895,1.91888,1.91888,8401.4010814473
2008-07-18,2.00545,2.00545,1.89898,1.95892,14447.033514143
2008-07-21,1.97224,2.05215,1.97224,1.99221,29789.675676974
2008-07-22,2.05215,2.05215,2.01895,2.01895,7305.1848651833
2008-07-23,2.08536,2.08536,2.08536,2.08536,1117.044324373
2008-07-24,2.08536,2.08536,1.9789,2.0589,1871.2410811626
2008-07-25,2.08536,2.08536,1.98547,2.06547,2796.4475676895
2008-07-28,2.07212,2.07212,2.07212,2.07212,35.078918920448
2008-07-29,1.99879,2.07212,1.97224,2.07212,2497.1805406494
2008-07-30,2.06547,2.07212,1.9789,2.01229,15279.061622288
2008-07-31,2.06547,2.06547,2.01895,2.06547,5458.0605407785
2008-08-01,2.06547,2.06547,2.06547,2.06547,269.66918920094
2008-08-04,2.0589,2.0589,1.98547,2.01229,2795.3513514732
2008-08-05,2.01229,2.01229,1.93885,2.01229,368.3286486647
2008-08-06,2.04558,2.04558,2.04558,2.04558,71.25405405716
2008-08-07,2.03883,2.06547,2.01229,2.05215,9452.6724328445
2008-08-08,2.09876,2.09876,2.03217,2.03217,165.52864865586
2008-08-11,2.0589,2.0589,2.0589,2.0589,1502.9124324979
2008-08-12,2.00545,2.0589,2.00545,2.0589,1257.3600000548
2008-08-13,1.99879,2.0589,1.99879,2.05215,7447.6929732976
2008-08-14,2.05215,2.05215,1.99879,2.05215,3136.2745947313
2008-08-18,2.03883,2.03883,2.03883,2.03883,60.29189189452
2008-08-19,2.03217,2.04558,1.99879,2.04558,5711.2864867354
2008-08-20,2.00545,2.00545,1.99879,2.00545,5585.2216218651
2008-08-21,2.04558,2.04558,2.04558,2.04558,59.195675678256
2008-08-22,2.04558,2.05215,2.03217,2.04558,6914.9318921933
2008-08-25,2.04558,2.0589,1.99221,2.0589,6011.6497299918
2008-08-26,2.0589,2.0589,1.99221,1.99879,8430.9989192864
2008-08-27,2.04558,2.04558,1.9456,1.99879,10407.47675721
2008-08-28,2.01895,2.01895,1.93228,1.99879,7331.4940543736
2008-08-29,1.99879,1.99879,1.91888,1.9456,1974.2854054915
2008-09-01,1.99221,1.99221,1.93885,1.99221,344.2118919069
2008-09-02,1.99879,1.99879,1.93885,1.99879,481.2389189399
2008-09-03,1.99879,1.99879,1.96567,1.96567,8241.3535138728
2008-09-04,1.96567,1.98547,1.96567,1.98547,2447.8508109175
