,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Volume,Wallet,Sell,Buy
2940,2020-08-28,4.73638,4.77826,4.69451,4.77826,3131.8897298662,0.0,3622.9164245626716,,
2941,2020-08-31,4.73638,4.77826,4.69451,4.77826,4326.765405594,758.2083069072573,3622.9164245626716,,4.77826
2942,2020-09-01,4.77826,4.77826,4.65246,4.73638,3652.5924325916,0.0,3591.1626606693953,4.73638,
2943,2020-09-02,4.73638,4.77826,4.69451,4.77826,8871.6778382246,0.0,3591.1626606693953,,
2944,2020-09-03,4.69451,4.77826,4.69451,4.69451,4877.0659461585,0.0,3591.1626606693953,,
2945,2020-09-04,4.69451,4.77826,4.65246,4.73638,2157.3535136076,0.0,3591.1626606693953,,
2946,2020-09-07,4.77826,4.77826,4.69451,4.77826,13923.042162769,0.0,3591.1626606693953,,
2947,2020-09-08,4.69451,4.82012,4.69451,4.77826,7578.142703033,0.0,3591.1626606693953,,
2948,2020-09-09,4.73638,4.77826,4.65246,4.77826,4394.7308110024,0.0,3591.1626606693953,,
2949,2020-09-10,4.73638,4.77826,4.73638,4.77826,3864.1621623306,0.0,3591.1626606693953,,
2950,2020-09-11,4.77826,4.77826,4.73638,4.77826,8999.9351355274,0.0,3591.1626606693953,,
2951,2020-09-14,4.77826,4.77826,4.73638,4.77826,9065.7081085033,0.0,3591.1626606693953,,
2952,2020-09-15,4.77826,4.77826,4.77826,4.77826,434.10162164054,0.0,3591.1626606693953,,
2953,2020-09-16,4.77826,4.82012,4.73638,4.77826,2548.7027028138,0.0,3591.1626606693953,,
2954,2020-09-17,4.77826,4.90396,4.77826,4.90396,11617.699459966,732.2985221472842,3591.1626606693953,,4.90396
2955,2020-09-18,4.94592,4.94592,4.77826,4.90396,30655.686487823,732.2985221472842,3591.1626606693953,,
2956,2020-09-21,4.90396,4.94592,4.86208,4.94592,21746.737298245,732.2985221472842,3621.889906658696,,
2957,2020-09-22,4.94592,4.94592,4.86208,4.94592,6473.1567570389,732.2985221472842,3621.889906658696,,
2958,2020-09-23,4.94592,5.868,4.94592,5.78426,113256.67459953,732.2985221472842,4235.80504971565,,
2959,2020-09-24,5.70043,6.20343,5.365,5.53276,130688.70487056,732.2985221472842,4051.6319713956077,,
2960,2020-09-25,5.15546,5.19743,4.73638,4.86208,131560.19676249,732.2985221472842,3560.493998561867,,
2961,2020-09-28,4.86208,4.98788,4.77826,4.90396,29513.429190476,732.2985221472842,3591.1626606693953,,
2962,2020-09-29,5.02975,5.07163,4.90396,5.02975,31316.70486623,732.2985221472842,3683.2784917703025,,
2963,2020-09-30,5.07345,5.16093,4.98606,5.11724,15625.465946627,732.2985221472842,3747.3472894729684,,
